Regressor;IncNodePurity;Rounded
livingspace         ;2046366675;2046366675
lat                  ;607746789;607746789
ost                  ;515790318,5;515790318
einwohner_total      ;456592951,8;456592951
lon                  ;418655752;418655752
NoOfRooms            ;149315511,4;149315511
einwohner            ;137294956,9;137294956
dum_builtinkitchen   ;106393297,4;106393297
distanceShop          ;98414693;98414693
berlin                ;66601735,5;66601735
dum_balcony           ;63020570,6;63020570
dum_floorplan         ;31250476,6;31250476
hamburg               ;30356607,5;30356607
bayern                ;23672516,8;23672516
nrw                   ;23240161,7;23240161
dum_privateoffer      ;18736549;18736549
dum_garden            ;13673025,4;13673025
rheinland             ;11738160,7;11738160
baden                  ;7619575,2;7619575
sachsen                ;6809671,5;6809671
brandenburg            ;6021130,4;6021130
sachsenanhalt          ;4257527,7;4257527
niedersachsen          ;3449374;3449374
schleswig              ;3050013,5;3050013
thueringen             ;1969961,3;1969961
mecklenburg            ;1568588;1568588
bremen                 ;1266334;1266334
saarland                ;835404,3;835404
