temparr_ntree,temparr_mtry_divideby,temparr_dataset,temparr_rmse,temparr_bias,temparr_var
50,2,full,103.71959233616,-0.292373714877849,80321.8505331762
100,2,full,103.293712358118,-0.205636930760969,80179.0683456082
200,2,full,103.040064597664,-0.392684161122417,80171.7309324798
300,2,full,103.070986035089,-0.406127593125688,80205.6819325232
400,2,full,102.857811985449,-0.389239705059063,80199.6538504741
400,1.5,full,103.430097037504,-0.620829772903428,81090.9429457951
400,1.5,full,103.430097037504,-0.620829772903428,81090.9429457951
400,1.25,full,103.983530228592,-0.765371781162019,81496.6624464644
400,4,full,105.678239794983,0.250649021727069,75277.5456370175
400,3,full,103.172204516967,-0.107783475827845,78778.5824671635
500,2,full,102.862450874458,-0.372682181903614,80147.0691134345
